InterventionID,StudentID,StartDate,EndDate,InterventionType,Provider,Frequency,Goals,Status,Effectiveness
1,2,2024-11-21,,Counseling,Mrs. Brown,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Minimal Effect
2,4,2024-11-28,2025-03-09,Counseling,Mr. Garcia,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Completed,Highly Effective
3,5,2024-12-06,,Academic Tutoring,Ms. Johnson,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Not Yet Evaluated
4,5,2024-12-20,2025-04-15,Academic Tutoring,Mr. Smith,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Completed,Not Yet Evaluated
5,8,2024-11-17,,ELL Support,Mrs. Brown,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Moderately Effective
6,8,2024-09-10,,ELL Support,Dr. Williams,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Moderately Effective
7,9,2024-10-06,,Behavioral Support,Dr. Williams,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Not Yet Evaluated
8,10,2024-11-16,,Academic Tutoring,Dr. Williams,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Moderately Effective
9,10,2024-12-05,,Academic Tutoring,Ms. Johnson,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Moderately Effective
10,10,2024-12-03,,Academic Tutoring,Mr. Garcia,2x per week,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Minimal Effect
11,11,2024-09-07,,Counseling,Mr. Smith,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Paused,Moderately Effective
12,13,2024-12-07,,Behavioral Support,Mr. Smith,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Paused,Not Yet Evaluated
13,18,2024-11-10,2024-12-21,Academic Tutoring,Mrs. Brown,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Completed,Highly Effective
14,18,2024-10-13,,Behavioral Support,Dr. Williams,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Minimal Effect
15,20,2024-09-17,,Academic Tutoring,Dr. Williams,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Active,Not Yet Evaluated
16,21,2024-09-13,2024-10-27,Behavioral Support,Mr. Garcia,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Completed,Highly Effective
17,22,2024-10-12,,Academic Tutoring,Mrs. Brown,Weekly,Improve academic performance and engagement; Achieve grade improvement of at least 10%,Paused,Moderately Effective
